cәлеметсіз бе hello 你好

Хукер hook 钩

жеңу overcome,win,handle,cope 克服，赢得，处理，应对

жеңіл lightly,slightly 轻轻，略微

жеңіл жел breeze 微风

жеңілдік discount,ease,relief 折扣，轻松，缓解

жеңіліс defeat 失败

жеңімпаз winner 胜利者

жиек rim 边缘

жиналыс assembly 集会

жинау collect,gathering,gather,assemble 收集，收集，收集，组装

жинаушы collector 收藏家

жинақ kit,suite,collection,set 套件，套件，收藏，套装

жиырма twenty 二十

жиырмасыншы twentieth 二十

жиі frequently,frequent,often 频繁，频繁，经常

жиілігі frequency 频率

жиһаз furniture 家具

жоба draft,project 草稿，项目

жойқын devastating 毁灭性

жол string,path,sneak,driveway,way,track,road 字符串，路径，潜行，车道，方式，轨道，道路

жол ақысы fare 票价

жолаушы passenger 乘客

жолақ strip,streak,lane 条形，条纹，车道

жолдас fellow 家伙

жорғалау crawl 爬

жоспар plan 计划

жоспарлау planning 规划

жоспарлаушы planner 计划

жотасы ridge 脊

жою remove,eliminate,destroy,removal,destruction,ruin 移除，消除，销毁，移除，破坏，毁坏

жоғалту loss,lose 损失，损失

жоғалу vanish 消失

жоғалып кету disappear 消失

жоғалған lost,missing 丢失，丢失

жоғары high,highly,tall,up,superior 高，高，高，上，上，上

жоғары деңгейдегі кездесу summit 峰会

жоғары сорт premium 奖赏

жоғары технологиялық high-tech 高科技

жоғарыда above,over 以上，上方

жоғарғы upper,top 上部，上部

жоғарғы жағында atop 之上

жоқ neither,nor,without 既不是，也不是，没有

журнал magazine,journal,log 杂志，期刊，日志

журналист journalist 记者

журналистика journalism 新闻业

жуу wash 洗

жуынатын бөлме bathroom 浴室

жыл year 年

жыл сайын annually 每年

жыл сайынғы annual 年刊

жылан snake 蛇

жылау scream,cry,shout 尖叫，哭泣，呐喊

жылдам rapid,quick,rapidly,fast,quickly 快速，快速，快速，快速，快速，快速

жылдамдық speed 速度

жылдамырақ faster 更快

жылжыту advance,move,promotion,transfer 前进，移动，晋升，转移

жылтыр brilliant 明

жылу warmth,heat 温暖，热

жылы warm 温暖

жылқы horse 马

жынды crazy,mad 疯狂，疯狂

жыныстық sexual,sexually,sexy 性，性，性感

жыныстық қатынас sexuality 性取向

жыпылықтау blink 眨眼

жыртқыш predator 掠夺者

жіберу send 发送

жігерлендіру cheer 欢呼

жігіт boyfriend,guy 男朋友，男生

жіктеу classify 分类

жіп thread 线

жіңішке subtle,thin 微妙，薄薄

жүгері corn 玉米

жүгіру flee,run 逃跑，逃跑

жүгіруші running,runner 跑步，跑步者

жүз hundred 百

жүзеге асыру implement 实现

жүзу swim,swimming,float 游泳，游泳，漂浮

жүзім grape 葡萄

жүйе system 系统

жүйке nervous,nerve 神经，神经

жүк cargo 货物

жүк көлігі truck 卡车

жүктеу load 负荷

жүкті pregnant 怀孕

жүктілік pregnancy 怀孕

жүн fur 毛皮

жүргізу drive 驾驶

жүргізуші driver 司机

жүрек heart 心

жұбайы spouse 配偶

жұдырық fist 拳头

жұлдыз star 星

жұмбақ mysterious 神秘

жұмсарту soften 软化

жұмсау spend 花费

жұмсақ soft,softly,gently,mild 柔软，柔软，温和，温和

жұмыртқа egg 蛋

жұмыс operate,job,working,work 操作，工作，工作，工作

жұмыс беруші employer 雇主

жұмыс орны workplace 工作单位

жұмыс істейді works 工程

жұмыс үстелі desk 书桌

жұмыспен қамту occupation 职业

жұмыссыздық unemployment 失业

жұмысқа орналастыру employment 就业

жұп pair,couple 对，情侣

жұту swallow 吞

жәбірленуші victim 受害者

жәндік insect 昆虫

және and 和

және / немесе and/or 和/或

және т. б. etc 等

жәрдемдесу facilitate 促进

жөндеу repair 修

жөнелту departure 离开

задница ass 屁股

зайырлы secular 世俗

заклинание spell 拼写

зал lobby,hall 大堂，大厅

заманауи contemporary,modern 现代，现代

зарядтау charge 负责

зат substance 物质

зауыт factory 厂

зақым damage 损伤

заң law 法律

заң жобасы bill 法案

заң шығарушы legislator,lawmaker 立法者，立法者

заң шығарушы билік legislature 立法机关

заңгер lawyer 律师

заңды legitimate,legal 合法，合法

заңды түрде legally 合法

заңнама legislation 立法

заңнамалық legislative 立法

заңсыз illegal 非法

зейнетақы pension 养老金

зергерлік бұйымдар jewelry 珠宝

зерттеу explore,study,exploration,examine,research,investigate 探索，研究，探索，检查，研究，调查

зерттеуші researcher 研究员

зертхана laboratory,lab 实验室，实验室

зеңбірек gun 枪

зират cemetery 墓地

зиян harm 伤害

зорлау rape 强奸

зорлық-зомбылық violence,violent 暴力，暴力

зымыран missile,rocket 导弹，火箭

зұлымдық evil 邪

идеология ideology 思想

идеологиялық ideological 意识形态的

идея idea 想法

иек chin 下巴

иелену possess,possession,ownership 拥有，占有，所有权

иесі owner 所有者

икемді flexible 灵活

икемділік flexibility 灵活性

иммигрант immigrant 移民

иммиграция immigration 移民

иммундық immune 免疫的

империя empire 帝国

импорттау import 进口

импульс pulse,impulse,momentum 脉冲，脉冲，动量

инвестиция invest 投资

инвестор investor 投资者

ингредиент ingredient 成分

индексі index 指数

ине needle 针

инженер engineer 工程师

инженерлік өнер engineering 工程

инновация innovation 创新

инновациялық innovative 创新

инспектор inspector 检查员

инстинкт instinct 本能

институционалдық institutional 制度

интеграция integration 集成

интеллект intelligence 情报

интеллектуалды intellectual 知识分子

интерьер interior 内部

инфекция infection 感染

инфляция inflation 通货膨胀

ипотека mortgage 抵押

ирония irony 讽刺

ирониялық ironically 具有 讽刺 意味

ит dog 狗

итеру push 推

иық shoulder 肩膀

иық тіреу shrug 耸肩

иілу bend,tuck,fold 弯曲，收起，折叠

иісі smell,scent 气味，气味

к to 自

каб cab .cab

кабель cable 电缆

кабина cabin 舱

кабинет cabinet 内阁

казино casino 赌场

камера chamber,camera 腔室，相机

кампус campus 校园

кандидат candidate 候选人

капитан captain 船长

карта card,map 卡片，地图

картоп potato 土豆

каталог catalog 目录

кедей poor 穷

кедейлік poverty 贫困

кедергі barrier,obstacle,stir 屏障，障碍物，搅拌

кез келген either 也

кез келген адам anyone 任何人

кез келген нәрсе whatever 无论什么

кез келген уақытта whenever 每当

кезбе wander 徘徊

кездейсоқ random,occasional 随机，偶尔

кездесу meeting,meet 会议，会议

кезек turn 转

кезең stage,period 阶段，期间

кейбір any 任何

кейбіреулер some 一些

кейде sometime,sometimes 有时，有时

кейін after 后

кейіннен afterward 然后

кейінірек later 后

кейіп таныту pretend 假装

кек spite 尽管

келесі next,subsequent,following 下一个，后续，后续

келу come,arrival,arrive,visit,attend 来，到，到达，参观，参加

келуші visitor 游客

келісемін agree 同意

келіспеу disagree 反对

келіспеушіліктер controversy 争议

келіссөздер negotiation 谈判

келіссөздер жүргізу negotiate 谈判

келісім consensus,agreement,convention,engagement,consent 共识，协议，约定，承诺，同意

келісімшарт contract 合同

кеме vessel,ship 船舶，船舶

кемсітушілік discrimination 歧视

кенеп canvas 帆布

кенеттен sudden,suddenly 突然，突然

кептірілген dried 干

кепілге алынған hostage 人质

кепілдік ensure,guarantee 保证，保证

керек ought,must,shall,should 应该，必须，应该，应该

керемет terrific,great,amazing,striking,excellent,remarkable,incredibly,incredible,surprising 了不起，伟大，惊人，惊人，卓越，非凡，难以置信，难以置信，令人惊讶

кернеу tension,strain 张力，应变

кері reverse 反向

кері байланыс feedback 反馈

керісінше rather 而

кесе cup 杯子

кесте schedule 附表

кесу cut,carve,chop 切割，雕刻，切碎

кету depart 离开

кеуде chest,breast 胸部，乳房

кеш party,late,evening 派对，深夜，晚上

кеше yesterday 昨天

кешенді comprehensive 全面

кешіру forgive 原谅

кешірім apology 道歉

кешірім сұрау apologize 道歉

кешіріңіз sorry 不好意思

кең widely,extensive,broad,vast,wide 广、广

кең таралған widespread 广泛

кеңейту extension,expansion,extend,expand 扩展，扩展，扩展，扩展

кеңейтілген extended 扩展

кеңес tip,advice,hint,council 提示，建议，提示，理事会

кеңес беру counseling,consult,advise 咨询，咨询，建议

кеңесші adviser,consultant,counselor 顾问，顾问，顾问

кеңсе office 办公室

кеңістік space 空间

кино movie 电影

кит whale 鲸鱼

кию wear 穿
